,name,AnnsName
0,person,person
1,bicycle,bicycle
2,car,car
3,motorcycle,motorcycle
4,airplane,airplane
5,bus,bus
6,train,train
7,truck,truck
8,boat,boat
9,traffic light,traffic light
10,fire hydrant,fire hydrant
11,stop sign,stop sign
12,parking meter,parking meter
13,bench,bench
14,bird,bird
15,cat,cat
16,dog,dog
17,horse,horse
18,sheep,sheep
19,cow,cow
20,elephant,elephant
21,bear,bear
22,zebra,zebra
23,giraffe,giraffe
24,backpack,backpack
25,umbrella,umbrella
26,handbag,handbag
27,tie,tie
28,suitcase,suitcase
29,frisbee,frisbee
30,skis,skis
31,snowboard,snowboard
32,sports ball,sports ball
33,kite,kite
34,baseball bat,baseball bat
35,baseball glove,baseball glove
36,skateboard,skateboard
37,surfboard,surfboard
38,tennis racket,tennis racket
39,bottle,bottle
40,wine glass,wine glass
41,cup,cup
42,fork,fork
43,knife,knife
44,spoon,spoon
45,bowl,bowl
46,banana,banana
47,apple,apple
48,sandwich,sandwich
49,orange,orange
50,broccoli,broccoli
51,carrot,carrot
52,hot dog,hot dog
53,pizza,pizza
54,donut,donut
55,cake,cake
56,chair,chair
57,couch,couch
58,potted plant,potted plant
59,bed,bed
60,dining table,dining table
61,toilet,toilet
62,tv,tv
63,laptop,laptop
64,mouse,mouse
65,remote,remote
66,keyboard,keyboard
67,cell phone,cell phone
68,microwave,microwave
69,oven,oven
70,toaster,toaster
71,sink,sink
72,refrigerator,refrigerator
73,book,book
74,clock,clock
75,vase,vase
76,scissors,scissors
77,teddy bear,teddy bear
78,hair drier,hair drier
79,toothbrush,toothbrush
